Resume_Text,Job_Description,Company_Name,Role,Match_Score
Experienced Software Engineer with a strong background in scalable system design and modern development practices.,"We are hiring a Software Engineer proficient in Python, cloud computing, and system architecture.",Accenture,Software Engineer,0.81
Experienced Data Scientist with a strong background in scalable system design and modern development practices.,"We are hiring a Data Scientist proficient in Python, cloud computing, and system architecture.",Apple,Data Scientist,0.75
Experienced Machine Learning Engineer with a strong background in scalable system design and modern development practices.,"We are hiring a Machine Learning Engineer proficient in Python, cloud computing, and system architecture.",Facebook,Machine Learning Engineer,0.85
Experienced AI Researcher with a strong background in scalable system design and modern development practices.,"We are hiring a AI Researcher proficient in Python, cloud computing, and system architecture.",Tesla,AI Researcher,0.75
Experienced Frontend Developer with a strong background in scalable system design and modern development practices.,"We are hiring a Frontend Developer proficient in Python, cloud computing, and system architecture.",Accenture,Frontend Developer,0.78
Experienced Backend Developer with a strong background in scalable system design and modern development practices.,"We are hiring a Backend Developer proficient in Python, cloud computing, and system architecture.",Capgemini,Backend Developer,0.91
Experienced Full Stack Developer with a strong background in scalable system design and modern development practices.,"We are hiring a Full Stack Developer proficient in Python, cloud computing, and system architecture.",Accenture,Full Stack Developer,0.72
Experienced DevOps Engineer with a strong background in scalable system design and modern development practices.,"We are hiring a DevOps Engineer proficient in Python, cloud computing, and system architecture.",Accenture,DevOps Engineer,0.82
Experienced Cloud Engineer with a strong background in scalable system design and modern development practices.,"We are hiring a Cloud Engineer proficient in Python, cloud computing, and system architecture.",Cisco,Cloud Engineer,0.8
Experienced Security Analyst with a strong background in scalable system design and modern development practices.,"We are hiring a Security Analyst proficient in Python, cloud computing, and system architecture.",Wipro,Security Analyst,0.77
Experienced Mobile App Developer with a strong background in scalable system design and modern development practices.,"We are hiring a Mobile App Developer proficient in Python, cloud computing, and system architecture.",Google,Mobile App Developer,0.82
Experienced Blockchain Developer with a strong background in scalable system design and modern development practices.,"We are hiring a Blockchain Developer proficient in Python, cloud computing, and system architecture.",Cisco,Blockchain Developer,0.77
Experienced Database Administrator with a strong background in scalable system design and modern development practices.,"We are hiring a Database Administrator proficient in Python, cloud computing, and system architecture.",Netflix,Database Administrator,0.63
Experienced Data Engineer with a strong background in scalable system design and modern development practices.,"We are hiring a Data Engineer proficient in Python, cloud computing, and system architecture.",PayPal,Data Engineer,0.66
Experienced Network Engineer with a strong background in scalable system design and modern development practices.,"We are hiring a Network Engineer proficient in Python, cloud computing, and system architecture.",HCL,Network Engineer,0.61
Experienced Systems Architect with a strong background in scalable system design and modern development practices.,"We are hiring a Systems Architect proficient in Python, cloud computing, and system architecture.",PayPal,Systems Architect,0.9
Experienced QA Engineer with a strong background in scalable system design and modern development practices.,"We are hiring a QA Engineer proficient in Python, cloud computing, and system architecture.",Amazon,QA Engineer,0.92
Experienced Automation Tester with a strong background in scalable system design and modern development practices.,"We are hiring a Automation Tester proficient in Python, cloud computing, and system architecture.",Capgemini,Automation Tester,0.9
Experienced Technical Support Engineer with a strong background in scalable system design and modern development practices.,"We are hiring a Technical Support Engineer proficient in Python, cloud computing, and system architecture.",Apple,Technical Support Engineer,0.73
Experienced Product Manager with a strong background in scalable system design and modern development practices.,"We are hiring a Product Manager proficient in Python, cloud computing, and system architecture.",Netflix,Product Manager,0.81
Experienced UI/UX Designer with a strong background in scalable system design and modern development practices.,"We are hiring a UI/UX Designer proficient in Python, cloud computing, and system architecture.",TCS,UI/UX Designer,0.62
Experienced Game Developer with a strong background in scalable system design and modern development practices.,"We are hiring a Game Developer proficient in Python, cloud computing, and system architecture.",HCL,Game Developer,0.88
Experienced Embedded Systems Engineer with a strong background in scalable system design and modern development practices.,"We are hiring a Embedded Systems Engineer proficient in Python, cloud computing, and system architecture.",Accenture,Embedded Systems Engineer,0.86
Experienced Site Reliability Engineer with a strong background in scalable system design and modern development practices.,"We are hiring a Site Reliability Engineer proficient in Python, cloud computing, and system architecture.",Salesforce,Site Reliability Engineer,0.82
Experienced NLP Engineer with a strong background in scalable system design and modern development practices.,"We are hiring a NLP Engineer proficient in Python, cloud computing, and system architecture.",Netflix,NLP Engineer,0.81
Experienced Computer Vision Engineer with a strong background in scalable system design and modern development practices.,"We are hiring a Computer Vision Engineer proficient in Python, cloud computing, and system architecture.",HCL,Computer Vision Engineer,0.94
Experienced Big Data Engineer with a strong background in scalable system design and modern development practices.,"We are hiring a Big Data Engineer proficient in Python, cloud computing, and system architecture.",Snapchat,Big Data Engineer,0.74
Experienced IoT Developer with a strong background in scalable system design and modern development practices.,"We are hiring a IoT Developer proficient in Python, cloud computing, and system architecture.",Stripe,IoT Developer,0.61
Experienced Solutions Architect with a strong background in scalable system design and modern development practices.,"We are hiring a Solutions Architect proficient in Python, cloud computing, and system architecture.",Accenture,Solutions Architect,0.85
Experienced AR/VR Developer with a strong background in scalable system design and modern development practices.,"We are hiring a AR/VR Developer proficient in Python, cloud computing, and system architecture.",TCS,AR/VR Developer,0.63
Experienced Cybersecurity Engineer with a strong background in scalable system design and modern development practices.,"We are hiring a Cybersecurity Engineer proficient in Python, cloud computing, and system architecture.",Facebook,Cybersecurity Engineer,0.61
Experienced Platform Engineer with a strong background in scalable system design and modern development practices.,"We are hiring a Platform Engineer proficient in Python, cloud computing, and system architecture.",Lyft,Platform Engineer,0.69
Experienced Cloud Solutions Architect with a strong background in scalable system design and modern development practices.,"We are hiring a Cloud Solutions Architect proficient in Python, cloud computing, and system architecture.",Cognizant,Cloud Solutions Architect,0.84
Experienced AI Ethics Specialist with a strong background in scalable system design and modern development practices.,"We are hiring a AI Ethics Specialist proficient in Python, cloud computing, and system architecture.",TCS,AI Ethics Specialist,0.72
Experienced Robotics Engineer with a strong background in scalable system design and modern development practices.,"We are hiring a Robotics Engineer proficient in Python, cloud computing, and system architecture.",Oracle,Robotics Engineer,0.89
Experienced Technical Program Manager with a strong background in scalable system design and modern development practices.,"We are hiring a Technical Program Manager proficient in Python, cloud computing, and system architecture.",Netflix,Technical Program Manager,0.88
Experienced Software Engineer with a strong background in scalable system design and modern development practices.,"We are hiring a Software Engineer proficient in Python, cloud computing, and system architecture.",Tech Mahindra,Software Engineer,0.85
Experienced Data Scientist with a strong background in scalable system design and modern development practices.,"We are hiring a Data Scientist proficient in Python, cloud computing, and system architecture.",Airbnb,Data Scientist,0.65
Experienced Machine Learning Engineer with a strong background in scalable system design and modern development practices.,"We are hiring a Machine Learning Engineer proficient in Python, cloud computing, and system architecture.",Google,Machine Learning Engineer,0.87
Experienced AI Researcher with a strong background in scalable system design and modern development practices.,"We are hiring a AI Researcher proficient in Python, cloud computing, and system architecture.",Adobe,AI Researcher,0.62
